Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1150.43M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_tilelight.001
Fra:1 Mem:1150.47M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_tile.001
Fra:1 Mem:1150.66M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_tiledark.001
Fra:1 Mem:1147.03M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_darkwood.001
Fra:1 Mem:1147.49M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_floorwood
Fra:1 Mem:1147.88M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_paper
Fra:1 Mem:1147.50M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_bookcloth.001
Fra:1 Mem:1147.76M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_ivory.001
Fra:1 Mem:1147.87M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_ink.001
Fra:1 Mem:1147.39M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_bookcover.001
Fra:1 Mem:1147.38M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_ceramic.001
Fra:1 Mem:1147.68M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_bamboo.001
Fra:1 Mem:1147.69M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dicuiting_stone.001
Fra:1 Mem:1147.71M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dicuiting_wood.001
Fra:1 Mem:1147.81M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dicuiting_darkwood
Fra:1 Mem:1147.81M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dicuiting_roof.001
Fra:1 Mem:1147.86M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dicuiting_tile.001
Fra:1 Mem:1148.04M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dicuiting_tiledark
